label	id	approved	datestart	dateend	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube	Matrix	Mailinglist	cancelled	replacement	replaces	cancellation_description
license:	All data in this file is published as Open Data, you are free to reuse it as long as you credit “// foss.events” and you republish the data under the same licence. Read the details at: https://foss.events/about.html#datalicense																																																
																																																	
DevConf.cz	1672955811	yes	20230616	20230618	DevConf.cz		#devconf_cz	https://www.devconf.info/cz/	hybrid		Brno	CZ	Faculty of Informatics Masaryk University	https://www.openstreetmap.org/way/761057736	49.20999	16.59885	https://www.devconf.info/coc	<p>DevConf.CZ is annual, free, Red Hat sponsored community conference for developers, admins, DevOps engineers, testers, documentation writers and other contributors to open source technologies. At DevConf.CZ, FLOSS communities sync, share, and hack on upstream projects together.</p><p>DevConf.cz Mini is a bi-annual, highly focused, local, in-person version of DevConf.cz. It offers an opportunity to return to our conference themes in a smaller setting and establishes a platform for the Czech Republic and EMEA based community to sync, share and hack on upstream projects together.</p><p>There is no admission or ticket charge for DevConf.CZ events. However, you are required to complete a free registration. Watch this site for updates about registration.</p><p>We are committed to fostering an open and welcoming environment at our conference. We set expectations for inclusive behavior through our code of conduct and media policies, and are prepared to enforce these.</p>	20211001	https://cfp.devconf.info/	Community Event	Red Hat	Zero	yes	?	EN	Red Hat		2009	Red Hat 		?	?	?	?	https://twitter.com/devconf_cz		https://t.me/devconfcz	https://github.com/devconfcz/devconf		https://www.youtube.com/channel/UCmYAQDZIQGm_kPvemBc_qwg								
Open Confidential Computing Conference	1672955821	yes	20230315	20230315	Open Confidential Computing Conference	OC3	#OC3	https://www.oc3.dev/	online				On the Internet				https://www.oc3.dev/code-of-conduct	<p>OC3 is the conference for the open-source confidential computing community. Join core committers and contributors, new and advanced users, as well as thought leaders to share experiences and best practices in confidential computing. Learn more about the latest innovations in the ecosystem, updates of current projects, and the future of this powerful technology.</p>				Security,Confidential Computing	Zero	https://www.oc3.dev/#registration	400	EN	Edgeless Systems		2021			?	?	?	?	https://twitter.com/EdgelessSystems					https://linkedin.com/company/edgeless-systems								
State of Open Con	1674399109	yes	20230207	20230208	State of Open Con 2023	SOOCON23	#soocon23	https://stateofopencon.com/	offline		London	UK	Queen Elizabeth II Center	https://www.openstreetmap.org/relation/8244903	51.50064	-0.12922	https://openuk.uk/wp-content/uploads/2020/08/Code-of-respect-Final-Aug-20.pdf	<p>The UK's Open Technology Conference, Open Source Software, Open Hardware & Open Data</p>			Community Event		£199	https://stateofopencon.com/tickets/		EN	Open UK									https://twitter.com/openuk_uk													
XMPP Summit	1671527834	yes	20230202	20230203	25th XMPP Summit		#xmpp	https://wiki.xmpp.org/web/Conferences/Summit_25	hybrid	/img/eventbanners/2023/2023-xmpp-summit.png	Diegem	BE	Cisco System Belgium	https://www.openstreetmap.org/way/641537289#map=16/50.8862/4.4415	50.8867	4.4483	https://xmpp.org/extensions/xep-0458.html	The XMPP Standards Foundation (XSF) will hold its 25th XMPP Summit in the two days preceding FOSDEM 2023, 2 & 3 February 2023.		https://wiki.xmpp.org/web/Conferences/Summit_25#Agenda	Project Event	XMPP	Zero	https://wiki.xmpp.org/web/Conferences/Summit_25#Summit_Participants	20	EN	XMPP Standards Foundation		2006							https://twitter.com/xmpp	https://fosstodon.org/@xmpp		https://github.com/xsf										
P2P Basel	1674503612	yes	20230127	20230130	P2P Basel 2023			https://p2p-basel.org/	offline	/img/eventbanners/2023/p2p-basel.png	Basel	CH	Departement of Mathematics and Computer Science	https://www.openstreetmap.org/node/5228942689	47.56019	7.58716		<p>Secure Scuttlebutt (SSB) is an application-level, secure and persisted publish/subscribe system that has gained popularity in the decentralized Web movement. The aim of this workshop is to bring together researchers, software builders and members of the SSB community to study the properties and potential of Secure Scuttlebutt. The workshop is open to other decentralized approaches and networking technologies e.g. DAT, Holochain, IPFS or SOLID, as problems and technologies often have considerable similarities. Also, a SSB tutorial precedes the workshop, helping people to get familiar with the Secure Scuttlebutt technology and value system in short time.</p>			Unconference	scuttlebutt	20€ / day	https://p2p-basel.org/	?	EN																							
CHAOSScon Europe	1669156225	yes	20230203	20230203	CHAOSScon Europe	CHAOSSCon	#CHAOSSCon	https://chaoss.community/chaosscon-2023-eu/	offline		Brussels	BE	Bedford Hotel & Congress Centre	https://www.openstreetmap.org/node/2169733297	50.84422	4.34742	https://chaoss.community/about/code-of-conduct/	Learn about open source project health metrics and tools used by open source projects, communities, and engineering teams to track and analyze their community work. This conference will provide a venue for discussing open source project health, CHAOSS updates, use cases, and hands-on workshops for developers, community managers, project managers, and anyone interested in measuring open source project health. We will also share insights from the CHAOSS working groups on Diversity and Inclusion, Evolution, Risk, OSPO Metrics, Common Metrics, and Metric Models			Community Event	Metrics, Community Management, Analytics	10 $	https://opencollective.com/chaoss/events/chaosscon-2023-brussels-5c280300/contribute/chaosscon-2023-ticket-brussels-47861	~80	EN	Linux Foundation									https://twitter.com/CHAOSSproj	no												
OFFDEM	1673024735	yes	20230204	20230205	Ozone Fast Forward: Decolonizing Europe Matters	OOO3FFDEM	#OFFDEM	https://ps.zoethical.org/pub/offdem-ozone-cfp	offline		Brussels	BE	Collectif Zone Neutre	https://www.openstreetmap.org/#map=19/50.81359/4.39307	50.81359	4.39307		<p>OFFDEM strives to keep a single event line, where all participants have the chance to follow the whole event, in the form of a general assembly. This means there is no individual presentation. Meanwhile, there are many smaller spaces and the main group can split to focus on more specific issues. In this case, we kindly ask that such groups provide a constructive way to give back to the general assembly so that we can all benefit from their findings.</p><p>At OFFDEM we think preparing an encounter together is important. You are welcome to propose different formats to OFFDEM: it may be a concern to be approached during a collective meeting, a specific focus group to be organized in a dedicated room, a performative proposal or an installation in the form of question booth, documentation table, fanzinotheque, etc. OFFDEM is self-organized. All proposals are prepared and discussed collectively on the forum (we do not have a selection committee) until we reach an agreement on the public program.</p>		https://ps.zoethical.org/pub/offdem-ozone-cfp	Unconference	counter culture,feminism,diy	Zero	https://ps.zoethical.org/pub/offdem-ozone-cfp	~80	EN	Petites Singularités		2020	none							https://ps.s10y.eu/@ps												
FOSDEM	1666810819	yes	20230204	20230205	Free and Open Source Software Developers European Meeting	FOSDEM	#fosdem #fosdem23	https://fosdem.org/2023/ 	offline	/img/eventbanners/2023/2023-fosdem.png	Brussels	BE	Université Libre Bruxelles	https://www.openstreetmap.org/?mlat=50.81295&mlon=4.38002#map=18/50.81295/4.38002	50.81295	4.38002	https://fosdem.org/2023/practical/conduct/	<p>FOSDEM is a free event for software developers to meet, share ideas and collaborate.</p> <p>Every year, thousands of developers of free and open source software from all over the world gather at the event in Brussels.</p>	20221215	https://fosdem.org/2023/news/2022-11-13-call-for-presentations/	Community Event,Festival	Development,Community	Zero	no	FOSDEM is Europe's biggest annnual Free and Open Source gathering. Physical attendance has increased up to 8.000 in 2020 and the online versions 2021&2022 have seen a peak of 33.500 visitors online.	EN	Fosdem Team	"<ul><li>The largest and most known FOSS event in Europe;</li><li>The organisers offer <a href=""https://fosdem.org/2023/news/2022-11-07-accepted-developer-rooms/"">Developer Rooms</a> for FOSS communities that they can run on their own with their own schedule and call for participation;</li><li>The night before the first day of FOSDEM there is a “Beerdrinking” event with free as in free beer usually happening in Delirium in the city center;</li><li>FOSDEM is usually surrounded by various smaller and larger satellite events;</li></u>"	"<a href=""https://archive.fosdem.org/2001/index.html"">2001</a>"	Cisco, Colt, OpenTAP, Université Libre de Bruxelles		Matrix			UTC+2	https://twitter.com/fosdem	https://fosstodon.org/@fosdem			https://www.instagram.com/fosdem/		https://facebook.com/fosdem							
