approved	datestart	dateend	label	name	cancelled	cancellation_description	shortname	hashtag	homepage	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Logo	Edition’s Topic	Stream	Twitter	Mastodon	Github
yes	20200626	20200627	leHack	le Hack 2020				leHack	https://lehack.org/	Paris	FR		https://www.openstreetmap.org/?mlat=48.8956&mlon=2.3879#map=16/48.8956/2.3879	48.8956	2.3879	nococ	<p>LeHACK is new because it's its second edition but the people behind it being the same that organized the 'Nuit du Hack' event during more than fifteen years. The name changes, our values stay the same !</p><p>LeHACK 2020 is a yearly rendezvous where hackers and afficionados are meeting around with both technical and non-technical talks and workshops about hacking. It is a great place to discover, to learn, to teach and be taught in the magical city of Paris.</p><p> LeHACK 2020 will be held in La Cite des Sciences, Paris (France) on the 26th and 27th of June 2020.</p>	20200408	https://lehack.org/en/call-for-papers	Community Conference		Zero	?	?	EN	Same organisers as Nuit du Hack : )							https://twitter.com/_leHACK_		
yes	20200629	20200701	Pass the SALT	Pass the SALT 2020			Pass the SALT	pts20	https://2020.pass-the-salt.org/	Lille	FR	Polytech Lille	https://www.openstreetmap.org/way/79509053	50.60777	3.13636	https://2020.pass-the-salt.org/code-of-conduct/	Dedicated to Free Software and Security.<br />Free as in free beer and as in Freedom.<br />English spoken conference.<br />3 days of talks & workshops. Lille, France.	20200331	https://cfp.pass-the-salt.org/	Community Conference	Security	Zero	no	?	EN								https://twitter.com/passthesaltcon		
yes	20200702	20200704	Wikidata Days 2020	Wikidata Days 2020					https://meta.wikimedia.org/wiki/WikiData_Days_2020	Carcavelos	PT	Nova School of Business and Economics	https://www.openstreetmap.org/way/504237613	38.6784839	-9.3279658,17					Project Conference	Wikidata,Portugal,Wikidata Days	?	yes	?	EN					/data/eventlogos/2020/2020-Wikidatadays2020_banner.jpg	share, collaborate, transform: shaping data in a changing world				
yes	20200729	20200802	Italian Hacker Camp	Italian Hacker Camp 2020			IHC	IHC2020	https://ihc.camp	Padua	IT	FENICE Green Energy Park	https://www.openstreetmap.org/way/37959510	45.39966	11.91854					Community Conference,Camping	Self-Organized,bi-yearly,		yes	650	EN								https://twitter.com/ihc_camp		
yes	20200811	20200818	BornHack	BornHack				BornHack	https://bornhack.dk/bornhack-2020/	Island of Funen	DK	Offroad	https://www.openstreetmap.org/#map=6/55.385601/9.939074	55.385601	9.939074	https://bornhack.dk/conduct/	BornHack is a 7 day outdoor tent camp where hackers, makers and people with an interest in technology or security come together to celebrate technology, socialise, learn and have fun. 			Community Conference,Camping		~ 1.200 DKK (~160 €)	yes	?	EN					yes			https://twitter.com/bornhax		
yes	20200819	20200821	GNU Hackers Meeting	GNU Hackers Meeting 2020			GHM		https://www.gnu.org/ghm/2020/#main	Hamburg	DE	dock europe e.V. Internationales Bildungszentrum	https://www.openstreetmap.org/node/375717634	53.55849	9.94362	nococ	2020 the (european) GHM is going to Germany ! This time, we will be gathering in the nice city of Hamburg for hacking, learning and meeting each other. Renting the room will cost 20,-€ per participant. 	open	https://www.gnu.org/ghm/2020/#callfortalks	Hackmeeting	GNU	20	yes	?	EN										
yes	20200822	20200823	FrOSCon	FrOSCon				FrOSCon	https://www.froscon.de/ 	Sankt-Augustin	DE	Hochschule Bonn-Rhein-Sieg	https://www.openstreetmap.org/way/32320855	50.78019	7.18324	nococ	Every year in the late summer, the computer science department of the University of Applied Sciences Bonn-Rhein-Sieg, supported by FrOSCon e.V., organizes an exciting program with talks and workshops for visitors of all ages who use, want to get to know or develop free software.			Community Conference		Zero	no	?	DE		Private Accommodations can be arranged						https://twitter.com/froscon		
yes	20200918	20200919	Kielux	Kieler Open Source und Linux Tage			Kielux	kielux	https://kielux.de/	Kiel	DE	Kieler Innovations- und Technologiezentrum	https://www.openstreetmap.org/way/19838580	54.33513	10.1193	nococ	Alljährlich im September, in zeitlicher Nähe zum internationalen Software Freedom Day, finden in Kiel im Kieler Innovations- und Technologiezentrum die Kieler Open Source und Linux Tage statt. Die Veranstaltung bietet ihren Besuchern eine ausgewogene Kombination aus Konferenz mit Vorträgen, Hands-on-Workshops, Ausstellung und Rahmenprogramm. Auch das leibliche Wohl kommt dabei nicht zu kurz. Das vielfältige Format eröffnet Besuchern, Firmen und Projekten viele Möglichkeiten, zwanglos miteinander in Kontakt zu treten und fördert den Ideenaustausch zwischen allen Beteiligten. Die Themenauswahl der Vorträge und Workshops ist regelmäßig breit gefächert, so dass sowohl Einsteiger als auch Experten bei einem Besuch auf der „Kielux“ auf ihre Kosten kommen. Auch wenn die Kieler Open Source und Linux Tage einen starken regionalen Bezug haben, so kommen Besucher, Referenten und Aussteller aus allen Teilen Deutschlands. Neben den „großen“ Linuxtagen finden auch immer wieder in unregelmäßigen Abständen zusätzliche Veranstaltungen, wie zum Beispiel Thementage, Workshops oder Abendvorträge statt. Der Eintritt ist frei - sowohl für die Zusatzveranstaltungen als auch für die Kieler Open Source und Linux Tage.			Community Conference		Zero	no	?	DE	Kieler Linux Initiative	Gewinnspiel, Jobwand, LinuxLounge, SoftwareFreedomFrühstück			/data/eventlogos/2020/2020-kielux.png			https://twitter.com/kielux	https://mastodon.social/@kielux	
yes	20200919	20200919	Open Source and Linux	Open Source and Linux					https://osdn.org.ua/	Kiev	UA	Nivki-hall	https://www.openstreetmap.org/node/3785206979	50.45948	30.40823	https://osdn.org.ua/#conduct	The Conference is a non-commercial, volunteer-organized event centered on free and open-source software. It is geared towards users, developers and anyone interested in the free and open-source software movement. The Conference is held annually since 2002, in September in Kyiv, Ukraine.	20190907	https://docs.google.com/forms/d/e/1FAIpQLSf77dzI59XN82_-CLhPNAp3z8X0T97NJr2V8BWVqRa8k9SvmA/viewform	Community Conference		Zero	https://osdn.org.ua/#registration	?	EN										
yes	20200923	20200925	MiniDebCamp Regensburg	MiniDebCamp Regensburg					https://wiki.debian.org/DebianEvents/de/2020/MiniDebConfRegensburg	Regensburg	DE	Ostbayrische Technische Hochschule	https://www.openstreetmap.org/?mlat=49.00329&mlon=12.09721#map=17/49.00329/12.09721	49.00329	12.09721	http://debconf.org/codeofconduct.shtml	The MiniDebcamp from Wednesday to Friday is a perfect opportunity to host Debian sprints. We would welcome if teams assemble and work together on their projects.			Hackmeeting	Debian	Zero	no	?	EN	Debian Hackers				/data/eventlogos/2020/2020-debian-logo.svg					
yes	20200926	20200927	MiniDebConf Regensburg	MiniDebConf Regensburg					https://wiki.debian.org/DebianEvents/de/2020/MiniDebConfRegensburg	Regensburg	DE	Ostbayrische Technische Hochschule	https://www.openstreetmap.org/?mlat=49.00329&mlon=12.09721#map=17/49.00329/12.09721	49.00329	12.09721	http://debconf.org/codeofconduct.shtml	MiniDebConfs are local meetings organized by Debian project members to achieve similar objectives to those of the DebConf, but on a regional context. 			Community Conference	Debian	Zero	no	?	EN	Debian Hackers				/data/eventlogos/2020/2020-debian-logo.svg					
yes	20200929	20200930	Open Networking & Edge Summit	Open Networking & Edge Summit					https://events.linuxfoundation.org/open-networking-edge-summit-europe/	Antwerp	BE	Flanders Meeting & Convention Center	https://www.openstreetmap.org/way/499922860	51.2181	4.42184	https://events.linuxfoundation.org/open-networking-edge-summit-europe/attend/code-of-conduct/	Open Networking & Edge Summit (formerly Open Networking Summit) is the industry’s premier open networking event now expanded to comprehensively cover Edge Computing, Edge Cloud & IoT. Open Networking & Edge Summit (ONES) enables collaborative development and innovation across enterprises, service providers/telcos and cloud providers to shape the future of networking and edge computing.	20200607	https://events.linuxfoundation.org/open-networking-edge-summit-europe/program/cfp/	Business Conference	Edge Computing,Edge Cloud,Open Networking,Linux Foundation	1025$	https://events.linuxfoundation.org/open-networking-edge-summit-europe/register/	?	EN	Linux Foundation				/data/eventlogos/2020/2020-ONES_Logos_Regional_EU_TrueWhite-1.svg					
yes	20201026	20201028	KVM Forum	KVM Forum					https://events.linuxfoundation.org/kvm-forum/	Dublin	IE	Convention Centre Dublin	https://www.openstreetmap.org/way/60270053	53.34823	-6.23953	https://events.linuxfoundation.org/kvm-forum/attend/code-of-conduct/	<p>KVM Forum is an annual event that presents a rare opportunity for developers and users to meet, discuss the state of Linux virtualization technology, and plan for the challenges ahead. This highly technical conference unites the developers who drive KVM development and the users who depend on KVM as part of their offerings, or to power their data centers and clouds.</p><p>Sessions include updates on the state of the KVM virtualization stack, planning for the future, and many opportunities for attendees to collaborate. After more than nine years in the mainline kernel, KVM continues to be a critical part of the FOSS cloud infrastructure. Come join us in continuing to improve the KVM ecosystem.</p>			Business Conference	Linux,Virtualization	550$	https://events.linuxfoundation.org/kvm-forum/register/	?	EN	Linux Foundation				/data/eventlogos/2020/2020-logo-KVM_Forum-1.svg					
yes	20201026	20201028	Embedded Linux Conference	Embedded Linux Conference					https://events.linuxfoundation.org/embedded-linux-conference-europe/	Dublin	IE	Convention Centre Dublin	https://www.openstreetmap.org/way/60270053	53.34823	-6.23953	https://events.linuxfoundation.org/embedded-linux-conference-europe/attend/code-of-conduct/	Embedded Linux Conference (ELC) is the premier vendor-neutral technical conference where developers working on embedded Linux and industrial IoT products and deployments gather for education and collaboration, paving the way for innovation. Attend, and join 800+ technical experts paving the way for transformation in these key areas from across the globe for education, collaboration and deep dive learning opportunities. 			Business Conference	Embedded,Linux	1000$	https://events.linuxfoundation.org/embedded-linux-conference-europe/register/	?	EN	Linux Foundation				/data/eventlogos/2020/2020-LF-Event-Logo-_ELC-EU-White.svg					
yes	20201026	20201028	Open Source Summit Europe	Open Source Summit Europe				OSSEU	https://events.linuxfoundation.org/open-source-summit-europe/	Dublin	IE	Convention Centre Dublin	https://www.openstreetmap.org/way/60270053	53.34823	-6.23953	https://events.linuxfoundation.org/open-source-summit-europe/attend/code-of-conduct/	Open Source Summit Europe (OSS EU) is the leading conference for developers, architects, and other technologists – as well as open source community and industry leaders – to collaborate, share information, learn about the latest technologies and gain a competitive advantage by using innovative open solutions. 			Business Conference	Open Source,Summit	1000$	https://events.linuxfoundation.org/open-source-summit-europe/register/	?	EN	Linux Foundation				/data/eventlogos/2020/2020-LF-Event-Logo-_OSS-EU-V-White-01-1.svg					
yes	20201029	20201030	Linux Security Summit	Linux Security Summit					https://events.linuxfoundation.org/linux-security-summit-europe/	Dublin	IE	Convention Centre Dublin	https://www.openstreetmap.org/way/60270053	53.34823	-6.23953	https://events.linuxfoundation.org/linux-security-summit-europe/attend/code-of-conduct/	<p>The Linux Security Summit (LSS) is a technical forum for collaboration between Linux developers, researchers, and end-users. Its primary aim is to foster community efforts in analyzing and solving Linux security challenges.</p><p>LSS will be held as two separate events, one in North America (LSS-NA), and one in Europe (LSS-EU), to facilitate broader participation in Linux Security development.</p>			Business Conference	Linux,Security	125$	https://events.linuxfoundation.org/linux-security-summit-europe/register/	?	EN	Linux Foundation				/data/eventlogos/2020/2020-logo-LSS_Logo_Europe_White-01.svg					
nada	20190215	20190217	Drupalcamp	Drupalcamp					https://paris2019.drupal.fr/	Paris	FR	Espace Saint-Martin	https://www.openstreetmap.org/?mlat=48.86336&mlon=2.35238#map=19/48.86336/2.35238	48.86336	48.86336	https://paris2019.drupal.fr/	Cet événement est organisé bénévolement par et pour la communauté Drupal. Il est porté administrativement et financièrement par l'association Drupal France et Francophonie.							?											
	20190301	20190304	Faqin	Faqin					https://www.faqin.org/	Madrid	ES	hidden				nococ	<p>The FAQin Congress is a free to attend, self-maintained, community-driven, sponsor-free event</p><p>Faqin encourages creativity and enables attendants to interact with each other in developing their own knowledge and exploring, showing, teaching, learning, sharing, *.* types of hacking.</p><p>We don't buy nor sell anything.</p>							?	EN										
yes	20200229	20200229	Congrés de Sobirania Tecnològica	V Congrés de Sobirania Tecnològica			Sobtec	Sobtec20	https://sobtec.cat/	Barcelona	ES	Lleialtat Santsenca	https://www.openstreetmap.org/way/264735742	41.3721	2.1366	nococ	El Congrés de Sobirania Tecnològica és un punt de trobada d'activistes, acadèmics i experts que pretén abordar aquesta temàtica des d'un punt de vista interdisciplinar i amb una clara voluntat divulgativa: acostar la ciutadania a aquest tema i sensibilitzar-la de l'impacte que té sobre els seus drets i llibertats fonamentals. promotor Sobtec, volem centrar-nos en un seguit de tecnologies, que comencen a agafar rellevància a partir dels anys 60, i que emmarquem dins del terme de tecnologies informàtiques.			Community Conference		Zero	"<p>No és obligatoria la inscripció però sí que ens ajuda a preveure quanta gent vindrà. En cas que se superés l’aforament d’una sala, es donaria prioritat a les persones inscrites.</p><p>Només cal omplir aquest <a href=""https://formularis.sobtec.cat/inscripcions-sobtec-2020"">formulari</a></p>"	120	CA	Grup Promotor per la Sobirania Tecnològica							twitter.com/_sobtec	mastodont.cat/@sobtec	
yes	20200229	20200301	installfest.cz	installfest.cz					https://installfest.cz/if20	Prague	CZ	Budova E Fakulty elektrotechnické	https://www.openstreetmap.org/?mlat=50.08006&mlon=14.39048#map=19/50.08006/14.39048	50.08006	14.39048		<p>Installfest je akce, kde se setkávají začátečníci s ostřílenými linuxáky, kteří jim pomáhají s GNU/Linux nebo problémy, které vyžadují více zkušeností. InstallFest pořádaný klubem Silicon Hill je ale o něco více akčnější, kromě instalací nabízí i přednášky a navíc je možné se zúčastnit i z domova.</p><p>Installfest je akce, která má své počátky v Americe. Týká se operačního systému GNU/Linux a jeho příznivců, kteří často pomáhali svým méně zkušeným kolegům s instalací tohoto operačního systému, až se jich sešlo více najednou a začali dělat takzvané instalační festivaly, čili installfesty. Jeden z prvních installfestů probíhal v knihovně. Účastníci si tam donesli své počítače (občas i rarity a polopočítače) a instalace mohli začít. Ostřílení linuxáci radili svým méně zkušeným kolegům, ale i mezi sebou si vyměňovali spoustu zajímavých zkušeností a panovala velmi přátelská a vzrušená atmosféra.</p><p>Takové installfesty jsou dnes pořádány po celém světě. Mnohdy mezi novinkami naleznete informaci, že se podařilo uskutečnit první installfest v Egyptě, na Islandu nebo někde úplně v divočině, kde byste si skoro netroufali doufat, že tam mají vůbec počítače. Ono to nemusí být na první pohled zřejmé, ale GNU/Linux lidi spojuje. A to velmi často díky atmosféře, která tento populární operačního systému obklopuje.</p>	20200131	https://pretalx.installfest.cz/installfest-2020/cfp	Community Conference	installfest,czech republic	?	?	?	CZ					/data/eventlogos/2020/2020-installfest_logo_gray_medium.png					
nada	20190307	20190310	Drupal Mountain Camp	Drupal Mountain Camp					https://drupalmountaincamp.ch/	Davos	CH		https://www.openstreetmap.org/way/219442526	46.80074	9.83142	https://drupalmountaincamp.ch/code-conduct								?											
yes	20200604	20200606	Free Silicon Conference	Free Silicon Conference				FsiC2020	https://f-si.org/	Paris	FR	Sorbonne University	https://www.openstreetmap.org/way/17044233#map=19/48.83982/2.35396	48.83982	2.35396									?											
nada	20190325	20190329	Taller de Periodismo de Datos	Taller de Periodismo de Datos					https://www.medialab-prado.es/programas/taller-de-periodismo-de-datos-2019-sigue-el-rastro-de-la-comida	Madrid	ES	Medialab Prado	https://www.openstreetmap.org/way/219016719	40.41052	-3.69359									?											
yes	20200425	20200425	Ausburger Linux-Infotag	19. Augsburger Linux-Infotag	cancelled	<p>This event has been cancelled to slow down the spreading of COVID-19 virus. We know this is a big loss for everyone involved, for organisers, speakers, participants, volunteers and also for the budgets.</p><p>Our full solidarity and we hope you grow stronger than ever in your next editions &lt;3</p>	LIT	lit2020	https://www.luga.de/Aktionen/LIT-2020/	Augsburg	DE	Hochschule Augsburg	https://www.openstreetmap.org/index.html?mlat=48.3584&mlon=10.9061&zoom=16	48.3585	10.9062		Auf dem Linux-Infotag können sich Neulinge einen Überblick über die Anwendungsmöglichkeiten von Linux und Open-Source-Software verschaffen und fortgeschrittene NutzerInnen können sich durch den Einblick in neue Entwicklungen inspirieren lassen. Projektstände bieten die Möglichkeit zum direkten Kontakt zwischen EntwicklerInnen, ProtagonistInnen und AnwenderInnen. Außerdem wird der Bogen zu allgemeineren Themen wie Kunst und digitale Gesellschaft gespannt.	20200331	https://pretalx.luga.de/lit-2020/cfp	Community Conference	Augsburg, Linux-Infotag	Zero	no	350	DE	Linux User Group Augsburg				/data/eventlogos/2020/2020-logo-linux-session-en.png					
yes	20200425	20200425	17th Linux Session 	17th Linux Session 					https://17.sesja.linuksowa.pl/en	Wrocław	PL	Congress Center of the Wrocław University	https://www.openstreetmap.org/#map=18/51.11043/17.06002	51.11043	17.06002		Linux Session is a conference about Open Source solutions and latest trends in Linux-based systems.			Community Conference	Linux Session,Poland,Warsaw	Zero	no	?	EN										
yes	20200527	20200531	DjangoCon Europe	DjangoCon Europe					https://2020.djangocon.eu/	Porto	PT									Project Conference	Django	yes	yes	?	EN										
yes	20200507	20200508	DORS/CLUC	DORS/CLUC					https://2020.dorscluc.org/	Zagreb	HR	Faculty of Electrical Engineering and Computing	https://www.openstreetmap.org/way/201559182	45.80075	15.97129	https://2020.dorscluc.org/code-of-conduct/	<p>DORS/CLUC – Dani otvorenih računarskih sustava / Croatian Linux Users’ Conference – is the oldest and biggest regional conference that covers free and open source software, open standards, and the Linux operating system. For the last 27 years, DORS/CLUC has brought together many prominent individuals and companies from the free and open source software community.</p><p>The conference is coordinated by HrOpen and HULK, two non-profit organizations that tirelessly work to promote open technologies and encourage their application in everyday life.</p><p>This year conference will take place on May 7th and 8th, at the Faculty of Electrical Engineering and Computing in Zagreb, Croatia. Once again, an interesting crowd will gather to attend talks about awesome free software topics.</p><p>During the two days of talks, workshops, and fun, DORS/CLUC becomes a place where students, FOSS enthusiasts, tinkerers, developers, hackers, freelancers, companies and the public sector representatives meet to learn, network, do business and plan projects together – all with focus on free software and Linux.</p><p>DORS/CLUC has traditionally been divided into two parts: keynotes/talks and workshops: Keynotes and talks generally cover business topics, the latest experiences with FLOSS implementation and migration, and presentations of new tools and technologies, along with explanations on how to use them. Workshops are mostly tech-oriented, and provide the attendees with an opportunity to learn how to use a particular technology, as well as how to troubleshoot and solve problems with free and open source software and hardware.</p><p>There is something for everyone at DORS/CLUC. Whether you are a beginner or an experienced member of the FOSS community, we believe that three days full of interesting talks, networking, and knowledge exchange will count as time well-spent.</p> last 26 years, DORS/CLUC has brought together many prominent individuals and companies from the free and open source software community.	open	https://2020.dorscluc.org/submit-a-talk-or-workshop/	Community Conference		Zero	no	?	EN	HrOpen & Hulk				no		?			
yes	20200410	20200413	Easterhegg	Easterhegg	cancelled	<p>This event has been cancelled to slow down the spreading of COVID-19 virus. We know this is a big loss for everyone involved, for organisers, speakers, participants, volunteers and also for the budgets.</p><p>Our full solidarity and we hope you grow stronger than ever in your next editions &lt;3</p>	Easterhegg	eh20	https://eh20.easterhegg.eu/	Hamburg	DE	Kampnagel	https://www.openstreetmap.org/way/32991874	53.583056	10.020833	nococ	Der 20. Easterhegg wird unter dem Motto: “back to root” vom 10. bis 13.04.2020 in Hamburg stattfinden. Veranstaltungsort ist die zum Kulturzentrum gewandelte, ehemalige Maschinenfabrik Kampnagel. Hier wurden Anfang bis Mitte des 19. Jahrhunderts Schiffs- und Hafenkrane hergestellt. Für den runden Geburtstag lädt der Chaos Computer Club Hamburg in dieses wunderbare Areal ein, in dem sonst zeitgenössische darstellende Kunst gezeigt wird.	20200229	https://cfp.eh20.easterhegg.eu/eh20/cfp	Community Conference	CCC	50€	500 tickets will be sold on two dates. For more information see the <a href=”https://eh20.easterhegg.eu/doku.php?id=tickets”>Easterhegg website</a>.	500	DE	Chaos Computer Club	The event offers self-organized sessions that can be filled by participants in an Unconference style. 	2001	This event has no sponsors	/data/eventlogos/2020/2020-logo-easterhegg.png	Back to root		https://twitter.com/ccchamburg		
	20200410	20200413	Hack the Earth	Hack the Earth			Hack the Earth			Calafou	ES	Calafou	https://www.openstreetmap.org/way/159687510	41.51141	1.70228		We are publishing the workshops and confirmed presentations for the Hack the Earth 2019 on the theme of Futurotopias - Communities to change everything.  If you want to contribute a workshop or an activity you can send an email to Calafou (at) riseup.net to be programmed.  There will also be a space during the event for all the proposals that have come to us from people who want to share knowledge or art. All the info to sign up and other logistical issues can be found here.							?											
yes	20200424	20200425	Linuxwochen Eisenstadt	Linuxwochen	cancelled	<p>This event has been cancelled to slow down the spreading of COVID-19 virus. We know this is a big loss for everyone involved, for organisers, speakers, participants, volunteers and also for the budgets.</p><p>Our full solidarity and we hope you grow stronger than ever in your next editions &lt;3</p>			https://www.linuxwochen.at/linuxwochen-eisenstadt-summary	Eisenstadt	AT	Studienzentrum der Fachhochschule Burgenland 	https://www.openstreetmap.org/way/370187001	47.82937	16.53502	nococ				Community Conference		?	?	?	DE										
	20190427	20190427	Frühlingsfest	Frühlingsfest					https://fruehlingsfest.frama.site/	Munich	DE	Café Netzwerk	https://www.openstreetmap.org/node/957531675	48.1441	11.56245									?											
yes	20200507	20200509	Linuxwochen Wien	LinuxWochenWien					http://wien.linuxwochen.at/	Vienna	AT	FH Technikum Wien	https://www.openstreetmap.org/node/3664315650	48.239444	16.377778	nococ				Community Conference		?	?	?	DE								https://twitter.com/linuxwochen		
	20190504	20190505	FOSSA	Free and Open Source Software Auditing 			EU-FOSSA2	FOSSA	https://eufossahackathon.bemyapp.com/	Brussels	BE	Silversquare Europe	https://www.openstreetmap.org/node/2656943066	50.84073	4.36936		The next EU-FOSSA 2 Hackathon, on 4/5th May, has broadened its scope. It will still have a large focus on Apache Tomcat, but will now also include other communities under the Apache Software Foundation (ASF). Aditionally, the Hackathon will be offering training sessions on some of the latest ASF projects.			Hackathon,Public Administration		Zero		50											
yes	20200425	20200426	T-Dose	T-Dose					http://www.t-dose.org/	Geldrop / Eindhoven	NL	Hofdael	https://www.openstreetmap.org/#map=19/51.42298/5.56255	51.42298	5.56255	nococ	T-DOSE is a free and yearly event held in The Netherlands to promote use and development of Open Source Software. During this event, Open Source projects, developers and visitors can exchange ideas and knowledge.			Community Conference	t-dose	?	?	?	EN / NL	T-DOSE Foundation				/data/eventlogos/2020/2020-t-dose-logo-blue.png			https://twitter.com/tdose		
	20190511	20190511	LibreItaliaConf	LibreItaliaConf 2019					https://www.libreitalia.org/sesta-conferenza-italiana-libreitalia-2019/	Palermo	IT	Sala cinematografica «Vittorio De Seta»	https://www.openstreetmap.org/?mlat=38.1186680495739&mlon=13.337590098381042#map=18/38.11867/13.33759	38.11871	13.33759							Zero		?											
yes	20200516	20200516	Linux Presentation Day 2020.1	Linux Presentation Day 2020.1					http://linux-presentation-day.org/											Regional Day				?											
yes	20201121	20201121	Linux Presentation Day 2020.2	Linux Presentation Day 2020.2					http://linux-presentation-day.org/											Regional Day				?											
yes	20200516	20200517	openSUSE Summit at OSCAL	openSUSE Summit at OSCAL						Tirana	SQ						openSUSE is happy to have a summit this year at OSCAL in Tirana, Albania. We welcome the open source community to participate in the summit that we are co-hosting with OSCAL. The Call for Papers will be open until April 1, 2020.			Project Conference	OpenSUSE,Tirana,OSCAL	?	?	?	EN	OpenSUSE	This event is hosted inside OSCAL			/data/eventlogos/2020/2020-opensuse-oscal.png					
yes	20200516	20200517	OSCAL	Open Source Conference Albania			OSCAL	Oscal2020	https://oscal.openlabs.cc/	Tirana	SQ	Oficina	https://www.openstreetmap.org/way/449516501	41.33539	19.80762	https://oscal.openlabs.cc/coc/	<p>If you are looking forward to spending a weekend fully dedicated to open source software and culture, meeting up with friends from different communities, hosting a talk, workshop or meetup on a topic you are passionate about, while enjoying the nice weather and great food in the city, come and join us in Tirana, Albania.</p><p>About OSCAL: OSCAL (Open Source Conference Albania) is the first annual conference in Albania organized to promote software freedom, open source software, free culture and open knowledge. The Conference will gather free libre open source technology users, developers, academics, governmental agencies and people who share the idea that software should be free and open for the local community and governments to develop and customize to its needs; that knowledge is a communal property and free and open to everyone.</p><p>This is the 7th edition of the conference. As we always try to bring new year we have been proud to have a variety in our sessions:</p><ul><li>broad range of technical topics</li><li>over 90 hours of sessions</li><li>over 70 diverse speakers</li><li>more than 20 exhibitors</li><li>exclusive cityur</li><li>hackerspace parties</li><li>diverse and inclusive environment</li></ul>	20200401	https://cfp.openlabs.cc/oscal-2020/cfp	Community Conference	Open labs,	Zero	No	250	EN	Open Labs					Internet Freedom FTW		https://twitter.com/oscalconf		
	20190523	20190526	Rencontres de la Monnaie Libre	Rencontres de la Monnaie Libre			RML13	RML13	http://rml13.creationmonetaire.info/	Perpignan	FR	Coeur de Ğ1	https://www.openstreetmap.org/?mlat=42.69588&mlon=2.88461#map=19/42.69588/2.88461	42.69588	2.88461		<p>Ces RML13 sont tout particulièrement dédiées au fondement même des Rencontres de la Monnaie Libre, c'est à dire la rencontre des informaticiens développeurs / testeurs, du coeur de fonctionnement de la Ğ1 : Duniter</p><p>Les rencontres des informaticiens sont donc dédiées aux discussions et présentations concernant les protocoles et le coeur de Duniter afin de progresser dans l'organisation et l'avancement du développement du code de Duniter et de ses variantes en cours de développement telles que DURS (Duniter en RUST) ou Juniter (Duniter en Java)</p><p>Y sont tout spécialement conviés les développeurs du coeur en priorité, mais aussi les développeurs des clients, et tout particulièrement Silkaj (client en ligne de commande) qui sera prioritaire (pour rester aussi proche du coeur que possible), Cesium et Sakia, puisqu'ils utilisent ces protocoles et sont donc aussi en mesure d'en détailler les contenus</p>							?											
yes	20200521	20200524	Gulaschprogrammiernacht	Gulaschprogrammiernacht	cancelled	<p>This event has been cancelled to slow down the spreading of COVID-19 virus. We know this is a big loss for everyone involved, for organisers, speakers, participants, volunteers and also for the budgets.</p><p>Our full solidarity and we hope you grow stronger than ever in your next editions &lt;3</p>		GPN19	https://gulas.ch/	Karlsruhe	DE	Staatliche Hochschule für Gestaltung	https://www.openstreetmap.org/way/23855655#map=15/49.0023/8.4000&layers=T	49.0023	8.4		Gulaschprogrammiernacht klingt fast wie ein Kochmarathon für schlaflose Informatikstudenten. Was 2002 in einem Karlsruher Kellerraum mit ein paar Technikbegeisterten angefangen hat, ist inzwischen zu einer der größten Veranstaltungen des Chaos Computer Clubs gewachsen. Die Themen sind breit gefächert: Den Kern bilden Hard- und Softwareentwicklung, sowie Datensicherheit. Daneben kommen aber auch Datenschutz, Netzpolitik und viele andere faszinierende Themen zum Zug: Wie kocht man das perfekte Gulasch? Kann man aus Hardwareschrott noch schönen Schmuck basteln? Wie funktioniert eigentlich eine Nähmaschine? Wie fliegt man Raumschiffe? 			Community Conference, Hackmeeting	CCC, Entropia	Zero	no	1500	DE		Gulaschkanone, Breakfast flatrate						https://twitter.com/entropiagpn		
	20190530	20190602	Toulouse Hacker Space Factory	Toulouse Hacker Space Factory					https://www.thsf.net/	Toulouse	FR	Mix'Art Myrys	https://www.openstreetmap.org/way/48416748	43.61877	1.42029		<p>ge en 2019 dans une Néo-Tokyo post-apocalyptique et futuriste. Mégapole aliénante, politiciens corrompus, révoltes sociales, expérimentations militaires, pouvoirs psychiques et mutations techno-organiques… Katsuhiro Otomo pose les bases du cyberpunk japonais et questionne avec acuité les modes d’organisation sociale, le rapport de l’homme à la technologie et sa place dans l’environnement.</p><p>La 10ème édition de la Toulouse HackerSpace Factory (THSF) se construit en hommage et écho à cette oeuvre majeure tant sur le plan graphique que scénaristique avec un récit profondément politique et social. Malheureusement la 2019 d’Otomo se rapproche par bien des aspects de notre 2019 actuelle, et les questions qu'il soulevait au début des années 80 restent toujours prégnantes. Notamment les inégalites et l'injustice sociale, le rapport à la science et aux technologies, aux contrôles des personnes et des masses, et à l’environnement. Autant de questions que, depuis 10 ans, la THSF entend partager avec des artistes, des hackers, des chercheurs, des militants associatifs et tous les publics.</p>							?											
yes	20200709	20200712	Hackmeeting 0x17	Hackmeeting 0x17			Hackmeeting		https://hackmeeting.org/hackit20/	Rome	IT	CSOA Forte prenestino	https://www.openstreetmap.org/node/251876420#map=11/41.8804/12.7285	41.89234	12.56924	https://hackmeeting.org/hackit20/info.en.html	Hackmeeting is the yearly Italian digital counter-cultures meeting			Community Conference	Hackmeeting,Italy	no	no	?	IT										
