approved	datestart	dateend	label	name	shortname	hashtag	homepage	city	country	venue	OSM-Link	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Twitter	Facebook	Mastodong
yes	20200313	20200315	DrupalCamp London	DrupalCamp London 2020	--	--	https://groups.drupal.org/node/535355	London	UK	University of London	--	--	DrupalCamp London brings together hundreds of people from across the globe who use, develop, design, and support the Drupal platform. It’s a chance for Drupalers from all backgrounds to meet, discuss, and engage in the Drupal community and project.	--	--	Conference,Project	Drupal	--	--	--	--			
yes	20200311	20200314	FOSSGIS-Konferenz	FOSSGIS-Konferenz 2020	--	--	https://www.fossgis-konferenz.de/2020/	Freiburg	DE	Albert-Ludwigs-Universität	https://www.openstreetmap.org/way/102476555	--	Die FOSSGIS-Konferenz ist die führende Konferenz für Freie und Open Source Software Geo-Software und OpenStreetMap.	20191117	https://www.fossgis-konferenz.de/2020/callforpapers/	Conference,Community	--	100-300	yes	--	DE			
--	20190314	20190316	Free Silicon Conference	Free Silicon Conference	--	FSiC2019	https://f-si.org/	Paris	FR	Sorbonne University	https://www.openstreetmap.org/way/17044233#map=19/48.83982/2.35396	--	--	--	--	--	--	--	--	--	--			
yes	20200312	20120314	t3chfest	t3chfest	--	T3chfest2020	https://t3chfest.uc3m.es/2019/	Madrid	ES	Auditorio Universidad Carlos III	https://www.openstreetmap.org/#map=18/40.33250/-3.76546	https://t3chfest.uc3m.es/2020/codigo-conducta/	--	--	--	Conference,Community,Exhibition	Hackathon,Programming	--	--	2000	ES	https://twitter.com/t3chfest		
--	20190316	20190317	Chemnitzer Linux-Tage	Chemnitzer Linux-Tage	CLT	CLT2019	https://chemnitzer.linux-tage.de/2019/	Chemnitz	DE	Technische Universität Chemnitz	https://www.openstreetmap.org/way/30742889	--	The Chemnitz Linux Days stand for a cosmopolitan and peaceful communication with each other. We promote and welcome an open society, from which many new and good ideas emerge. We warmly welcome guests of all nations and look forward to 16./17. March 2019 and our international audience at the 21. Chhemnitzer Linux-Tagen	--	--	--	--	--	--	--	--			
yes	20200320	20200320	Libre en Fête	Libre en Fête	--	--	https://www.libre-en-fete.net/2020/	--	FR	--	--	--	--	--	--	Regional Day	--	--	--	--	--			
--	20190325	20190329	Taller de Periodismo de Datos	Taller de Periodismo de Datos	--	--	https://www.medialab-prado.es/programas/taller-de-periodismo-de-datos-2019-sigue-el-rastro-de-la-comida	Madrid	ES	Medialab Prado	https://www.openstreetmap.org/way/219016719	--	--	--	--	--	--	--	--	--	--			
yes	20200331	20200402	Collaborations Workshop	Collaborations Workshop 2020	CW20	CollabW20	https://www.software.ac.uk/cw19	Belfast	UK	Queen's University	https://www.openstreetmap.org/relation/9300103	https://www.software.ac.uk/cw20/code-conduct	<p>The Software Sustainability Institute’s Collaborations Workshop series brings together researchers, developers, innovators, managers, funders, publishers, leaders and educators to explore best practices and the future of research software. Collaborations Workshop 2020 (CW20) takes place from Tuesday 31st March to Wednesday 1st April 2020 at Queen's University, Belfast. The CW20 Hack Day takes place on the evening of Wednesday 1st of April to end of the working day Thursday 2nd of April at Ulster University, Belfast. The themes at CW20 are:</p><ul><li>Open Research</li><li>Data Privacy</li><li>Software Sustainability</li></ul>	--	--	Conference,Science	Hack Day	6	https://www.eventbrite.co.uk/e/collaborations-workshop-2020-cw20-collabw20-tickets-72375437883	--	EN			
yes	20200420	20200424	Internet Freedom Festival	Internet Freedom Festival	IFF	--	https://internetfreedomfestival.org/	Valencia	ES	Las Naves	https://www.openstreetmap.org/way/158789093	https://internetfreedomfestival.org/wiki/index.php/Code_of_Conduct	The Internet Freedom Festival is the only organization focused entirely in community development for the Internet Freedom field. We design programs and tools to bring together the eclectic plethora of activist groups, NGOs, governmental agencies, media organizations, large internet platforms, and many others who rely on each other to achieve the common goal of a free and open internet for all.	--	--	Unconference	--	0	yes	1700	EN	https://twitter.com/internetff		
--	20190404	20190407	Software Freedom Kosova	Software Freedom Kosova	SFK	--	https://sfk.flossk.org/sfk19/	Prishtina	KO	Kino Armata	https://www.openstreetmap.org/?mlat=42.66068&mlon=21.16014#map=19/42.66068/21.16014	https://sfk.flossk.org/sfk19/#collapseabout1	Software Freedom Kosova is the annual international conference held in Kosovo organized to promote free/libre open source software, free culture and open knowledge, now in its 8th edition and 10th anniversary (yaaay!). It is organized by FLOSSK, a non governmental, not for profit organization, dedicated to promotion of software freedom and related philosophies. Almost all sessions will be held in English. Entry is free, thanks to our partners and supporters, but you have to register. 	--	--	--	--	--	--	--	--			
--	20190406	20190406	Linux InfoTag	Linux InfoTag	--	--	https://www.luga.de/Aktionen/LIT-2019/	Augsburg	DE	Hochschule Augsburg	https://www.openstreetmap.org/index.html?mlat=48.3584&mlon=10.9061&zoom=16	--	Auf dem Linux-Infotag können sich Neulinge einen Überblick über die Anwendungsmöglichkeiten von Linux und Open-Source-Software verschaffen und fortgeschrittene NutzerInnen können sich durch den Einblick in neue Entwicklungen inspirieren lassen. Projektstände bieten die Möglichkeit zum direkten Kontakt zwischen EntwicklerInnen, ProtagonistInnen und AnwenderInnen. Außerdem wird der Bogen zu allgemeineren Themen wie Kunst und digitale Gesellschaft gespannt.	20190324	https://frab.luga.de/en/LIT2019/cfp/	--	--	--	--	350	--			
--	20190406	20190406	Open Education Day	Open Education Day	--	--	https://openeducationday.ch/	Bern	CH	Pädagogische Hochschule	https://www.openstreetmap.org/node/6140870034	--	Mit einer breiten Palette von Referaten, Workshops und Kurzpräsentationen vermittelt die kostenlose Tagung Wissen und Erfahrung zu Open Source Technologien, Open Content und Informatikkompetenzen im Lehrplan 21.	--	--	--	--	--	--	--	--			
--	20190406	20190407	Les Journées du Logiciel Libre	Les Journées du Logiciel Libre	--	--	https://jdll.org/	Lyon	FR	Maison Pour Tous – salle des Rancy 	https://www.openstreetmap.org/way/49680968	--	Lieu de rencontre bouillonnant depuis 1998, les journées du logiciel libre accueillent le temps d'un week-end les curieuses et curieux de tout bord. Qu'importe votre niveau, venez vous initier, partager vos idées, vos programmes, vos projets et construire ensemble des lendemains plus libres !	20190214	https://jdll.org/participer	--	--	--	--	--	--			
--	20190406	20190407	16th Linux Session 	16th Linux Session 	--	--	https://16.sesja.linuksowa.pl/en	Wrocław	PL	Congress Center of the Wrocław University	https://www.openstreetmap.org/#map=18/51.11043/17.06002	--	Linux Session is a conference about Open Source solutions and latest trends in Linux-based systems.	open	https://16.sesja.linuksowa.pl/en#cfp	--	--	--	--	--	--			
--	20190407	20190410	foss-north	foss-north	--	--	https://foss-north.se/2019/	Gothenburg	SE	Chalmers Conference Centre	https://www.openstreetmap.org/node/6390774037	https://foss-north.se/2019/coc.html	foss-north is a free / open source conference covering both software and hardware from the technical perspective. Hosted in Gothenburg between Copenhagen, Oslo, and Stockholm, with an international airport, we provide a meeting place for the Nordic foss communities and will bring together great speakers with a great audience.	20190224	https://foss-north.se/2019/contribute.html#call-for-papers	Conference,Community	hardware	yes	--	250	--			
--	20190410	20190412	DjangoCon Europe	DjangoCon Europe	--	--	https://2019.djangocon.eu/	Copenhagen	DK	AFUK	https://www.openstreetmap.org/node/5641873807	https://2019.djangocon.eu/conduct/	DjangoCon Europe is run by the community for the community: We are the 11th European conference, made up of Django practitioners from all levels. We welcome people from all over the world. Our conference seeks to educate and develop new skills, best practices and ideas for the benefit of attendees, developers, speakers and everyone in our global Django Community, not least those watching the talks online.	20190120	https://2019.djangocon.eu/cfp/	Conference,Project	Django	yes	--	--	--			
--	20190418	20190419	DORS/CLUC	DORS/CLUC	--	--	https://2019.dorscluc.org/conference/	Zagreb	HR	Faculty of Electrical Engineering and Computing	https://www.openstreetmap.org/way/201559182	https://2019.dorscluc.org/code-of-conduct/	DORS/CLUC - Dani otvorenih računarskih sustava / Croatian Linux Users' Conference - is the oldest and biggest regional conference that covers free and open source software, open standards, and the Linux operating system. For the last 26 years, DORS/CLUC has brought together many prominent individuals and companies from the free and open source software community. 	20190309	https://2019.dorscluc.org/talk-workshop-applications/	--	--	--	--	--	--			
--	20190419	20190422	Easterhegg	Easterhegg	--	--	https://eh19.easterhegg.eu/	Vienna	AU	Technischen Universität Wien	https://www.openstreetmap.org/relation/2650012	--	--	20190225	https://conference.c3w.at/eh19/cfp	--	--	--	--	--	--			
--	20190419	20190422	Hack the Earth	Hack the Earth	--	--	https://calafou.org/en/content/programa-hack-earth-2019-futurotop%C3%ADas/		ES	Calafou	https://www.openstreetmap.org/way/159687510	--	We are publishing the workshops and confirmed presentations for the Hack the Earth 2019 on the theme of Futurotopias - Communities to change everything.  If you want to contribute a workshop or an activity you can send an email to Calafou (at) riseup.net to be programmed.  There will also be a space during the event for all the proposals that have come to us from people who want to share knowledge or art. All the info to sign up and other logistical issues can be found here.	--	--	--	--	--	--	--	--			
--	20190426	20190427	Grazer LinuxTage	Grazer LinuxTage	--	--	https://www.linuxtage.at/	Graz	AU	Technische Universität Graz	https://www.openstreetmap.org/way/145408855	https://www.linuxtage.at/coc	Die Grazer Linuxtage sind eine jährliche Konferenz rund um Open-Source Software und Hardware in Graz.	20190217	https://pretalx.linuxtage.at/glt19/cfp	--	--	--	--	--	--			
--	20190426	20190427	Linuxwochen Eisenstadt	Linuxwochen	--	--	https://www.linuxwochen.at/linuxwochen-eisenstadt-summary	Eisenstadt	AT	Studienzentrum der Fachhochschule Burgenland 	https://www.openstreetmap.org/way/370187001	--	--	open	https://www.linuxwochen.at/linuxwochen-eisenstadt-summary	--	--	--	--	--	--			
--	20190427	20190427	FLISOL	Festival Latinoamericano de Instalación de Software Libre	--	--	https://flisol.info/FLISOL2019/Espana	--	--	--	--	--	Cada año, el cuarto sábado de abril se organizan jornadas de difusión de Software Libre de forma simultánea en varios cientos de localidades del planeta, un macroevento conocido como FLISOL. Hace ya 9 años se organizó por primera vez en España, por lo que en 2019 será la 10ª vez que se realice. Y es que lo gratificante de la experiencia y la importancia de apoyar y difundir el Software Libre en nuestro entorno, nos motiva a continuar año tras año. 	--	--	--	--	--	--	--	--			
--	20190427	20190427	Frühlingsfest	Frühlingsfest	--	--	https://fruehlingsfest.frama.site/	Munich	DE	Café Netzwerk	https://www.openstreetmap.org/node/957531675	--	--	--	--	--	--	--	--	--	--			
--	20190502	20190504	Linuxwochen Wien	LinuxWochenWien	--	--	http://wien.linuxwochen.at/	Vienna	AT	--		--	--	--	--	--	--	--	--	--	--			
--	20190504	20190505	FOSSA	Free and Open Source Software Auditing 	EU-FOSSA2	FOSSA	https://eufossahackathon.bemyapp.com/	Brussels	BE	Silversquare Europe	https://www.openstreetmap.org/node/2656943066	--	The next EU-FOSSA 2 Hackathon, on 4/5th May, has broadened its scope. It will still have a large focus on Apache Tomcat, but will now also include other communities under the Apache Software Foundation (ASF). Aditionally, the Hackathon will be offering training sessions on some of the latest ASF projects.	open	https://www.openstreetmap.org/node/2656943066	Hackathon,Public Administration		0	--	50	--			
--	20190504	20190504	Libertybits	Libertybits	--	--	https://libertybits.org/	Sofia	BG	Sofia Tech Park's Forum	https://www.openstreetmap.org/way/334366114	https://libertybits.org/code-of-conduct/	<p>The concentration of great power into very small number of players (a.k.a. centralization) puts them in a dominant position and leads to misuse of the acquired power. This includes governmental, political, economical and corporate power.</p><p>The goal of LibertyBits Conference is to stress out this critical ethical issue, focusing on 4 major topics (blockchain, privacy, free software and independent living) in order to reveal as much opportunities as possible about how we could avoid (or even escape) our dependency from the monopolies of power and how we can achieve more sustainable and peaceful life through decentralization.</p>	--	--	--	--	--	--	--	--			
yes	20200507	20200509	DrupalCamp Spain	DrupalCamp Spain 2020	--	--	https://2020.drupalcamp.es/	Malaga	ES	El Polo Digital	https://www.openstreetmap.org/relation/1426741	--	--	--	--	Conference,Project	Drupal	--	yes	300	ES	http://twitter.com/drupalcampspain		
--	20190511	20190511	T-Dose	T-Dose	--	--	http://www.t-dose.org/	Eindhoven	NL	Fontys University of Applied Science	https://www.openstreetmap.org/way/150553268	--	T-DOSE is a free and yearly event held in The Netherlands to promote use and development of Open Source Software. During this event, Open Source projects, developers and visitors can exchange ideas and knowledge. This year's event will be held at the Fontys University of Applied Science in Eindhoven on 11 May 2019.	20190401	http://www.t-dose.org/2019/cfp	--	--	--	--	--	--			
--	20190511	20190511	LibreItaliaConf	LibreItaliaConf 2019	--	--	https://www.libreitalia.org/sesta-conferenza-italiana-libreitalia-2019/	Palermo	IT	Sala cinematografica «Vittorio De Seta»	https://www.openstreetmap.org/?mlat=38.1186680495739&mlon=13.337590098381042#map=18/38.11867/13.33759	--	--	--	--	--	--	0	--	--	--			
--	20190517	20190519	Wikimedia Hackathon	Wikimedia Hackathon 2019	--	--	https://www.mediawiki.org/wiki/Wikimedia_Hackathon_2019	Prague	CZ	National Library of Technology	https://www.openstreetmap.org/?mlat=50.103939&mlon=14.390622&zoom=15#map=15/50.1039/14.3906	https://www.mediawiki.org/wiki/Wikimedia_Hackathon_2019#Friendly_Space_Policy_and_Code_of_Conduct	The Wikimedia Hackathon is a major event that brings together developers from all around the world to improve the technological infrastructure of Wikipedia and other Wikimedia projects, particularly the MediaWiki platform on which they are based, and other Wikimedia code development.	--	--	--	--	--	--	--	--			
--	20190518	20190518	Linux Presentation Day 2019.1	Linux Presentation Day 2019.1	--	--	http://linux-presentation-day.org/	--	--	--	--	--	<p>At the end of 2014 the Berlin Linux User Group (BeLUG) developed a concept for a joint Linux event which aims at interested people who do not know Linux yet and especially at the (non-IT) media. This event can be organized with very little effort i.e. by small groups (and very different organisations like LUGs and schools) without budget, too. The first event of this kind was in Berlin in May 2015 at eight locations (each run by another organization).</p><p>The second Linux Presentation Day (LPD 2015.2) was in November 2015 but this time not limited to Berlin but in 72 cities in Germany, Austria and Switzerland (more than 1,500 visitors). The LPD 2016.1 was in April 2016 in more than 110 cities in 10 countries.</p><p>We are now looking for people in further countries who organize an LPD event, gain experience with this kind of event, get familiar with the whole idea and (at best) organize a nationwide participation later. But currently most countries do not have a central organiser.</p>	--	--	--	--	--	--	--	--			
--	20190518	20190519	OSCAL	Open Source Conference Albania	--	--	https://oscal.openlabs.cc/	Tirana	SQ	Oficina	https://www.openstreetmap.org/way/449516501	https://oscal.openlabs.cc/coc/	<p>OSCAL (Open Source Conference Albania) is the first annual conference in Albania organized to promote software freedom, open source software, free culture and open knowledge, a global movement that originally started more than 30 years ago.</p><p>The Conference will take place at 18 & 19 May 2019 in Tirana and will gather free libre open source technology users, developers, academics, governmental agencies and people who share the idea that software should be free and open for the local community and governments to develop and customize to its needs	20190401	https://oscal.openlabs.cc/call-for-proposals/	--	--	--	--	--	--			
--	20190518	20190519	Linuxwochen Linz	Linuxwochen Linz 2019	--	--	https://www.linuxwochen-linz.at/2019/home/	Linz	AT	Hackerspace /dev/lol	https://www.openstreetmap.org/?mlat=48.30578371882439&mlon=14.283830523490906#map=18/48.30578/14.28383	--	Auch 2019 laden die Linuxwochen Linz wieder alle Technikinteressierte und Freunde der Open Source/Open Hardware/Open Data Welt ein. Ein Teil der Vorträge werden in Form eines Barcamp organisiert. Teilnahme am Barcamp ist bis unmittelbar auf der Veranstaltung möglich.	20190704	https://www.linuxwochen-linz.at/2019/home/	--	--	--	--	--	--			
--	20190520	20190523	KubeCon + CloudNativeCon Europe	KubeCon + CloudNativeCon Europe	--	--	https://events.linuxfoundation.org/events/kubecon-cloudnativecon-europe-2019/	Barcelona	ES	Fira Gran Via	https://www.openstreetmap.org/way/189838216	https://events19.linuxfoundation.org/events/kubecon-cloudnativecon-europe-2019/attend/code-of-conduct/	--	--	--	--	--	--	--	--	--			
--	20190523	20190526	Rencontres de la Monnaie Libre	Rencontres de la Monnaie Libre	RML13	RML13	http://rml13.creationmonetaire.info/	Perpignan	FR	Coeur de Ğ1	https://www.openstreetmap.org/?mlat=42.69588&mlon=2.88461#map=19/42.69588/2.88461	--	<p>Ces RML13 sont tout particulièrement dédiées au fondement même des Rencontres de la Monnaie Libre, c'est à dire la rencontre des informaticiens développeurs / testeurs, du coeur de fonctionnement de la Ğ1 : Duniter</p><p>Les rencontres des informaticiens sont donc dédiées aux discussions et présentations concernant les protocoles et le coeur de Duniter afin de progresser dans l'organisation et l'avancement du développement du code de Duniter et de ses variantes en cours de développement telles que DURS (Duniter en RUST) ou Juniter (Duniter en Java)</p><p>Y sont tout spécialement conviés les développeurs du coeur en priorité, mais aussi les développeurs des clients, et tout particulièrement Silkaj (client en ligne de commande) qui sera prioritaire (pour rester aussi proche du coeur que possible), Cesium et Sakia, puisqu'ils utilisent ces protocoles et sont donc aussi en mesure d'en détailler les contenus</p>	--	--	--	--	--	--	--	--			
yes	20200424	20200425	Opensouthcode	Opensouthcode 2020	--	--	https://www.opensouthcode.org/	Malaga	ES	El Polo Digital	https://www.openstreetmap.org/relation/1426741	https://www.opensouthcode.org/conferences/opensouthcode2020#conduct	<p>Opensouthcode es un evento para promocionar y dar a conocer las tecnologías abiertas: software/hardware libre y opensource. El evento es gratuito.</p><p>Opensouthcode is an event to promote open technologies: free software/hardware and opensource. The event is free (as in beer 	--	--	Conference,Community	--	0	--	--	ES			
--	20190524	20190526	openSUSE Conference	openSUSE Conference 2019	--	--	https://events.opensuse.org/conference/oSC19	Nürnberg	DE	Z-Bau	https://www.openstreetmap.org/node/4798465687	--	The openSUSE Conference begins Friday, May 24, at 10 a.m. and will finish on Sunday, May 26. The openSUSE Conference is the annual openSUSE community event that brings people from around the world together to meet and collaborate. The organized talks, workshops, and BoF sessions provide a framework around more casual meet ups and hack sessions. A party here and there provides the time to relax and have fun, making connections on a more personal level.	--	--	--	--	--	--	--	--			
--	20190525	20190526	MiniDebConf Marseille	MiniDebConf Marseille	--	--	https://wiki.debian.org/DebianEvents/fr/2019/Marseille	Marseille	FR	La Maison du Chant	https://www.openstreetmap.org/way/68980947	https://wiki.debian.org/DebianEvents/fr/2019/Marseille#Code_of_Conduct	<p>Mini-DebConf Marseille will take place on May 25th/26th 2019.</p><p>More information on http://minidebconf-mrs.debian.net/.</p>	--	--	--	--	--	--	--	--			
--	20190529	20190502	Libre Graphics Meeting	Libre Graphics Meeting	--	--	http://libregraphicsmeeting.org/2019/	Saarbrücken	DE	Hochschule der Bildenden Künste Saar 	https://www.openstreetmap.org/way/67491138	https://libregraphicsmeeting.org/2019/code-of-conduct/	The Libre Graphics Meeting (LGM) is an annual international convention for the discussion of free and open source software used with graphics. The first Libre Graphics Meeting was held in March 2006.	20190123	https://libregraphicsmeeting.org/2019/call-for-participation/	--	--	--	--	--	--			
--	20190530	20190530	OpenTechSummit	OpenTechSummit	--	--	https://opentechsummit.net/	Berlin	DE	Motionlab	https://www.openstreetmap.org/node/4764927721	https://www.openstreetmap.org/node/4764927721	--	--	--	--	--	--	--	--	--			
--	20190530	20190602	Gulaschprogrammiernacht	Gulaschprogrammiernacht	--	GPN19	https://entropia.de/GPN19	Karlsruhe	DE	Staatliche Hochschule für Gestaltung	https://www.openstreetmap.org/way/23855655#map=15/49.0023/8.4000&layers=T	--	Gulaschprogrammiernacht klingt fast wie ein Kochmarathon für schlaflose Informatikstudenten. Was 2002 in einem Karlsruher Kellerraum mit ein paar Technikbegeisterten angefangen hat, ist inzwischen zu einer der größten Veranstaltungen des Chaos Computer Clubs gewachsen. Die Themen sind breit gefächert: Den Kern bilden Hard- und Softwareentwicklung, sowie Datensicherheit. Daneben kommen aber auch Datenschutz, Netzpolitik und viele andere faszinierende Themen zum Zug: Wie kocht man das perfekte Gulasch? Kann man aus Hardwareschrott noch schönen Schmuck basteln? Wie funktioniert eigentlich eine Nähmaschine? Wie fliegt man Raumschiffe? 	--	--	--	--	--	--	--	--			
--	20190530	20190602	Toulouse Hacker Space Factory	Toulouse Hacker Space Factory	--	--	https://www.thsf.net/	Toulouse	FR	Mix'Art Myrys	https://www.openstreetmap.org/way/48416748	--	<p>ge en 2019 dans une Néo-Tokyo post-apocalyptique et futuriste. Mégapole aliénante, politiciens corrompus, révoltes sociales, expérimentations militaires, pouvoirs psychiques et mutations techno-organiques… Katsuhiro Otomo pose les bases du cyberpunk japonais et questionne avec acuité les modes d’organisation sociale, le rapport de l’homme à la technologie et sa place dans l’environnement.</p><p>La 10ème édition de la Toulouse HackerSpace Factory (THSF) se construit en hommage et écho à cette oeuvre majeure tant sur le plan graphique que scénaristique avec un récit profondément politique et social. Malheureusement la 2019 d’Otomo se rapproche par bien des aspects de notre 2019 actuelle, et les questions qu'il soulevait au début des années 80 restent toujours prégnantes. Notamment les inégalites et l'injustice sociale, le rapport à la science et aux technologies, aux contrôles des personnes et des masses, et à l’environnement. Autant de questions que, depuis 10 ans, la THSF entend partager avec des artistes, des hackers, des chercheurs, des militants associatifs et tous les publics.</p>	20190315	https://www.thsf.net/	--	--	--	--	--	--			
--	20190531	20190602	Hackmeeting 0x16	Hackmeeting 0x16	--	--	https://hackmeeting.org/hackit19/	Florence	FR	nEXT Emerson	https://www.openstreetmap.org/#map=19/43.82102/11.22241	--	<p>Hackmeeting is the yearly Italian digital counter-cultures meeting	open	https://hackmeeting.org/hackit19/schedule.en.html	--	--	--	--	--	--			
--	20190531	20190502	Wireless Community Weekend	Freifunk Wireless Community Weekend 2019	--	--	https://wiki.freifunk.net/Wireless_Community_Weekend_2019	Berlin	DE	C-base	http://www.openstreetmap.org/?box=yes&bbox=13.42013%2C52.51297%2C13.42013%2C52.51297	--	The WirelessCommunityWeekend will follow the 15 years of tradition also in 2019 and take place in the c-base space station in Berlin. From the 31th of May to the 2nd of June the Freifunk community will meet with their guests to create an unconference and hackathon	--	--	--	--	--	--	--	--			
